set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain3_58_171_346_270_113_192	Do you want to walk around the park?	No, the weather is too gloomy.	It's not that bad outside!	Well there's a lot of rain and the thunder and lightning seem pretty close.  You really still want to go out to the park?	Sure! Let me just grab my kite and my umbrella.	A kite? Seriously?
train	chain2_254_1358_532_1251_809_390	What time did you schedule our pedicures for?	Tomorrow morning at 10	Ok, you better not be late.	I already set my alarm.	Great, see you then.	Are you coming with me?
train	chain2_1058_666_610_68_901_392	Could you show me where the bathroom is?	Yes just at the top of the stairs.	Thank you very much!	Don't fall in!	With a butt like this there is no way I could possibly fall in.	You look fine!
train	chain2_2127_1459_379_846_324_758	Would you like to watch a movie on Netflix with me?	Sure, why not. What should we watch?	I'm sure there's another Adam Sandler movie...I think he makes one a week.	Yeah, that's why we shouldn't watch one of them. They're too boring and predictable.	I think Deadpool is available. Its supposed to be stupid funny.	No, i've seen it. It was worse than you could imagine.
train	chain2_1882_808_447_1169_775_543	Would you please pick up a birthday gift and a card for my granddaughter?	Yes, I will get both of those for you.	What is she into right now?	She really likes the screaming music, you know the one you can't understand.	Oh well, I would need some advice then!	No worries I ll get them..
train	chain2_66_997_509_1228_578_459	Is mom happy with my progress?	I really think you need to ask her that.	I would but she's not answering my phone calls.	WHY ISN'T SHE ANSWERING YOUR PHONE CALLS?	Geeze, I don't know why psycho, maybe she's just busy.	Sorry I yelled at you, I was in a wind tunnel.
train	chain2_1976_43_1379_911_804_55	Is Sam going on his skiing trip?	Yes. I hope he breaks a leg. Just kidding. Maybe.	I was hoping for a neck actually.	Oh! You're worse than I am!	Heh, yeah we are the worst, but seriously I will feel bad if he dies.	That would be tragic. Even if he is a loser.
train	chain2_1053_1440_1114_722_404_1006	What are you doing this weekend?	I'M GOING TO THE BEACH.	I hope it's not raining.	Yeah I want to work on my tan this weekend.	Do you mind if i come?	Wow I d love if you join..
train	chain2_1964_261_808_71_861_917	What's the dosage of my medicines?	I don't know. I'll have to check the labels on all the bottles.	Thanks. I'll have to write them down next time.	Let me get a pencil and do that for you now.	I appreciate it. It's hard to keep track of all this!	I'm happy to help!
train	chain3_321_282_194_373_299_195	Hmm, what was that guy's name?	I didn't catch it either.	I think it started with an 'S'.	It  might  have been Shane .	I'll ask him to remind me next time I see him.	Good idea. Shane or Sean, I think.
train	chain3_298_225_66_133_252_105	Have you watched any movies lately?	Yes, just watched Eye in the Sky.  It was a little ridiculous in pretending all the heads of State from several countries would agonize over the death of a single foreign citizen.	I agree the movie was pretty unbelieveable.	Have you ever killed someone?	Even if I did I wouldn't tell you.	Oh come on! You are totally no fun!
train	chain3_393_416_62_125_238_78	What is for dinner?	Whatever you're making for us, dear.	What do you feel like having?	Why do I have to decide?	OK, then I'll decide, but you have to promise not to wrinkle your nose when I tell you what I'm making.	Not a problem!
train	chain2_510_549_957_1018_680_833	How long have you been driving?	You mean today or for my lifetime? Today for about a 1/2 hour; for my life, about 12 years.	I meant your lifetime.	Well there you go.	What cars have you driven since you've been driving?	That were mine? Two.
train	chain2_1669_1132_537_1256_211_240	What are we having for breakfast?	Pancakes and bacon.	Sorry, I'm allergic to bacon.	Should I make sausage instead?	no idon't like it	Well what do you want?
train	chain3_398_422_79_154_288_172	How did your vacation in California go?	My vacation was great, thanks!	Where did you go in California?	We went into San Fransisco to do the usual tour stops!	You should have gone off the beaten path.  There's more to California than San Francisco.	Have you thought about checking out ghost towns?
train	chain3_114_261_156_303_173_279	Do cats like rain?	No. Because cats hate to get wet.	But tigers love to swim, so maybe some cats like rain, right?	You must be a lot of fun at parties.	And you must not know many cats.	No, thankfully!  I am a dog person.
train	chain2_1397_1336_1391_973_47_645	Can you get me a blanket please?	Sure, here you go	Thanks, can you wrap it around mt feet?	Sure, is that comfortable?	Oh yes, that's wonderful.	Do you want me to massage your shoulders?
train	chain3_173_367_333_247_70_121	Did you go out last night?	No, I stayed in and ordered pizza.	Me, too! We should split one next time!	Sure, but we would have to split the distance between us as well.	Yeah, you're right. That wouldn't work.	Well, it might!
train	chain2_1502_160_1003_15_443_34	Who do you work for?	I work for Mr. Mohan.	I don't believe that for a second.	Why would I lie about that?	Because Mr. Mohan has been missing for 36 years.	now who is the one that is lying?
train	chain3_68_189_381_336_231_65	Sure, what do you want me to write?	Write about whatever you'd like.	You're giving me way too much freedom, here.	Freedom is the basis of a healthy society, you know.	Well there's such a thing as too much freedom.	Okay, you fascist!
train	chain3_418_29_61_122_230_64	can we discuss this once you are done reading?	Ok. We can discuss it after I finish reading.	How long do you think you will take?	I should be done in about 20 minutes.	Okay, I'l just sit here and stare at you	That's creepy, why not do something else instead?
train	chain2_1015_1202_1036_272_860_20	Did you enjoy your meal here?	It was okay.	Mine was delicious.	Mine would have been better if it didn't have capers in it. I hate those things.	Don't forget to ask them to take them out next time. They'll accommodate you.	Great idea my meal would then be perfect.
train	chain2_712_1213_195_1135_650_9	Did you bring some new books?	Yes, I brought some new books.	Did you bring anything really good?	Maybe, depends on what kind of books you like to read.	I like to read the classics. Do you have any?	I have some of the Bronte's novels.
train	chain2_74_1477_534_1253_1044_691	How is the weather?	Great, it is not too cold but not too warm either.	The weather is like that here too.	And where would that be?	Here in Fantasyland.  Actually it's like the gates of hell in California right now.	I know, its so hot I'm sweating like a pig.
train	chain2_968_704_1350_778_700_1031	Do you know where my shoes are?	They're in the garage by the door.	What are they doing there?	I was mowing the lawn.	Wearing my shoes? Are they covered in grass now?	Well I hardly wanted to get my own shoes covered in grass!
train	chain2_1743_561_1060_414_934_501	Can you please get me some water?	Yes sparkling or still?	Whatever is easiest for you.	Okay, coming right up.	Can you put a slice of lemon in it?	yes, let me get that
train	chain2_1959_279_1338_726_634_554	Sir, can you help me?	Yes, are you okay?	Why wouldn't I be okay? I just asked if you could help me. What are you, a Doctor or something? Geez.	Then what do you want?	I am wondering if you know how to get to the airport from here?	Yes of course I do. You will continue going straight onto Main Street. At your fifth light you will make a right onto Weaverly Road. I'd say about three quarters of a mile up the road you will see the entrance to the airport. You will start to see signs as well.
train	chain2_855_1245_1253_262_1050_553	I love that author, are you enjoying the book?	Yes I am	You should join me at my book club meeting next Tuesday.	I'd love to! What time?	It's a seven p.m. Do you think you can make it?	I think I can be there.
train	chain2_2108_131_657_351_903_428	What do you want to do today?	I'd like to go to the mall.	What do you plan on buying in the mall?	I don't plan on buying anything, I just want to people watch.	what time do you want to meet at the mall?	I would like to meet at 3 pm.
train	chain3_297_223_58_117_221_43	Do you want to go swimming with me?	No, I can't swim.	I can teach you how to swim.	When do you want to start?	We can start as soon as we can hit the beach!	Great, let's go!
train	chain2_1229_69_303_480_240_11	Could you please order some books on tape from the library for me?	Sure.  What books would you like?	Anything with blood in the title.	A bit weird, but I will look for you.	Thanks. It's for a research paper.	Oh, when is the paper due?
train	chain2_1768_640_910_721_364_8	What time are we having our family barbeque?	Probably around 4:00.	Awesome!  I'll be ready for you to pick me up around 2:00 PM.	Sure, can you bring some salad?	Sure, any kind in particular?	Mother-in-law likes Caesar, so anything else but that one!
train	chain2_1177_1319_453_1177_29_686	What are you eating?	Popcorn.  Want some?	Sure, please pass me some.	This is so salty, you have anything to drink?	I have some water - would you like some?	Yes please. Thank you.
train	chain2_1771_1233_1028_171_718_84	Is it already spoiled?	Yes throw it out!	This produce went bad quickly.	At least we compost, so it doesn't go to a landfill.	how interesting... how does composting work?	It's not hard really.
train	chain2_1842_667_1045_310_1114_586	Do you watch TV?	I only download my shows over the internet.	What's your favorite program?	I really enjoy Game of Thrones.	Never seen it, sounds stupid.	Why are you judging something you've never seen?
train	chain2_1657_1230_309_509_1164_676	Did you call the repair man?	Sure did. He's coming tomorrow morning.	What time tomorrow?	Sometime between 9 AM and 5 PM. That was all he could promise.	Great. There goes my entire day off. I hope he shows up early.	Me too, I hope you dont have to wait around all day
train	chain2_97_1020_389_909_953_991	Is there anything fun to do that is also affordable?	Nothing around here.	Not even a movie or an ice cream parlor?	Movies are too expensive these days. But we could get some ice cream	Is there a Bruster's around here?	No, but there is a Cold Stone right around the corner.
train	chain2_449_1298_1158_948_194_710	Do you have any cash?	I don't carry cash with me.	Why don't you carry cash?	Everything is a slide card now, where have you been?	Buying at small shops and food stalls, I guess.	Oh, I guess cash does come in handy sometimes, then.
train	chain3_392_414_55_112_211_26	Where are you from ?	I was born and raised in New York City.	Why did you decide to move to Los Angeles?	I wanted to get as far from my family as possible.	I definitely understand.	Thanks. Now go away, Dad.
train	chain3_302_237_98_190_329_259	How is your mother doing?	She's alright, a little better since she started going to AA.	Is she actually sober or just attending meetings for the free coffee?	I think she's trying her best to actually stick to it this time.	Well that's good.  Maybe she will be able to get her house back then.	Not likely. She has burned too many bridges with her landlord. She's living with my Grandmother now.
train	chain3_438_80_157_305_176_282	What are we getting for lunch?	I will have the salad with no tomatoes.	I think I'll do the burger and fries	What?!? Why are you murdering baby animals for your lunch?!?  You told me you were vegan too!	I'm only vegan when there are lots of people around actually.  My veganism is directly related to how much attention I can get.	You are an idiot.
train	chain2_1694_288_483_1204_725_599	Did the courier reach on time?	Yes they did.	What did they bring you?	Pesticides, painkillers, and penicillin. They forgot to bring ketchup.	Typical, did you give a tip?	No, because they forgot the ketchup.
train	chain2_1921_918_160_1002_278_320	Why are you here?	I had nothing better to do.	I have something for you to do, I need help cleaning the garage today!	Ohhhh I just remembered I have stuff to do. BYE!	Yeah sure, you lazy bum.	You don't have to clean the garage today.
train	chain2_1975_1306_576_1294_1002_866	Can I please get a hot chocolate?	Sure, I would be happy to get that for you.	How much will it cost?	It's .50, but, I'll buy it for you.	Thanks. You don't have to do that.	it's okay, no problem.
train	chain2_987_819_940_895_1214_936	Could you stop that?	No, I like doing it	Well, could you keep it down, it's kind of annoying?	Put some earplugs in if you don't like it.	Okay stop doing it right now or you are grounded.	okay okay,don't get mad
train	chain2_1211_313_598_1314_121_1073	Where can we go today?	we can go to mall	Would you prefer the outlet instead of the inside mall?	Either one is fine with me.	I only got half of my allowance this week, that's why I want to go to the outlet.	OK, that is fine with me.
train	chain2_17_806_412_1034_834_556	Can I borrow a pen?	YES YOU CAN.	Do you have a red pen, by any chance?	No, only a blue one.	Blue one will do	Here you go.
train	chain3_143_315_253_101_187_293	Do you want to go the casino tomorow?	Sure, I have a new system I'm certain will work.	That's what they all say. Which machine are you headed to?	The slot machines. That's where I always go first.	Beware the one-armed bandit!	I only take $20 and play until it's gone.
train	chain2_996_181_1112_703_1216_342	Where do you work?	Currently, in the southwest region of the US.	Well that's not very specific.	I work in a small city in Arizona.	Do you like it there?	It's ok. small town so not much to do.
train	chain2_1582_373_1206_35_1027_896	Any good news from my lawyer?	I'm still waiting to hear back from your lawyer.	Okay, please let me know once you hear something from him.	Why are you so curious for me to tell you that?	Well it concerns me, too.	What is all this about?
train	chain3_28_107_212_11_24_44	What time is dinner?	I can't be bothered to cook.	Are you just going to get take-out when you get hungry?	Yeah, that's what I'm feeling like.	Want to get some chinese food?	Sure, I'm hungry now!
train	chain2_31_57_959_1027_441_1068	Can I please have a look?	You can take a quick peek.	WHERE DID YOU FIND THAT?	It was in the garage.	Ewww gross, what are you going to do with it?	I'm going to eat it.
train	chain2_681_40_876_574_959_117	When did you come in the room?	I came in a few minutes ago.	And what happened then?	I set down my purse, and that's when the doorbell rang.	Why were you in my room in the first place?	I was coming to say hi after a long day. No need to be defensive.
train	chain2_1154_1466_1378_902_613_874	How is your family?	Everyone is well, thank you.	Kids still doing well in school?	Yes, Kristen made the honor roll and decided she wants to be a veterinarian. Ethan is loving his art classes.	Smart and ambitious, these kids are going places!	To be honest, I'm a little worried about Ethan's math grades, but he has been working really hard and I think he's starting to improve.
train	chain2_7_1220_995_1163_942_437	Can I have my iPod?	Oh, ya sure.	What music were you listening to?	I wasn't listening to music, I was creeping your Facebook.	Find anything interesting to you?	No, your life seems pretty average.
train	chain2_292_1252_1352_787_1215_889	Have you watered the plants?	YES, I DID THIS MORNING.	Were there any dead?	They were still fine.	Are you sure?	Keep nagging and they will be dead!
train	chain2_1163_519_44_250_786_981	Why are you cold?	I am always cold	Do you need me to turn the air conditioner off?	Maybe just turn it down. I don't want to inconvenience everyone else.	Or I could bring you a sweater.	no just turn the ac down a bit
train	chain2_496_291_533_1252_56_972	What is your favorite movie?	I have a hard time choosing just one. Right now I really enjoy Deadpool and Star Wars Force Awakens.	What did you like about Deadpool? I heard it was a bunch of uninspired humor.	I really like the characters.	Well the main actor is very cute.	Wade Wilson or shall I say Ryan Reynolds is not my type but the detailing and the graphics of his action moves were phenomenal.
train	chain2_375_929_1186_1098_1193_496	No way, did he really?	YES, HE DID.	I wonder why he did that.	He's such a jerk.	I'm sorry he did that to you.	It wasn't the first time but I can promise it will definitely be the last, I'm done.
train	chain3_41_137_278_151_283_154	Can you fill out my tax declaration?	Yes I will do it later on tonight.	Sorry for the rush!	Not a problem at all.	I appreciate your help very much. Thanks.	Not a problem!
train	chain2_1569_1008_726_712_1176_693	When did you come?	I came yesterday.	So why are you now just telling me?	Well I thought I'd surprise you.	I wish you had told me sooner.	If I had told you sooner, it wouldn't have been a surprise. But next time, I'll let you know so you can bake me a cake.
train	chain3_240_103_201_1_1_1	Are we there yet?	We should be there shortly.	Are there yet now?	Johnny, stop.  You know we aren't there yet.  I'll tell you when we're getting close.	Are we there yet?	We're turning around next time you ask.
train	chain3_113_259_150_292_154_252	How much homework do you have tonight?	Way more than I want. I've been letting it slide.	This is what you get for procrastinating!	Want to do them together?	No, I'm all caught up with mine. Sorry!	No problem. How long did it take you to finish it?
train	chain2_1377_769_1117_739_263_730	Could you come over whenever you've got time?	I'll be there at 8pm.	ok, I'll be home then.	Cool, I'll clear the driveway so there's room for you to park.	Don't worry, I'll be riding my bike!	Call when you arrive and I will open the garage for you to put your bike inside.
train	chain2_2073_292_340_656_274_853	What did she say?	She said she never even got a message from you. What's the deal?	the deal is that I've been sick.	So, you lied to her about sending her a message?	Not really, I intended to, but things got in the way.	what actually happened?
train	chain2_1002_384_1019_99_986_918	Does she have any friends?	More than I could ever imagine.	Are most of her friends females?	No, they're mostly men.	Better keep a close watch on that one. Beauty, brains, and athletic abilities just draw the men to her.	I know, the struggle is real.
train	chain2_1756_174_1240_202_17_868	Do I know you?	No.  Not at all.	I'm pretty certain we've met.	Maybe  we  went  to  school together ?	No, I think it is from somewhere else.	Well I don't seem to recall ever meeting you.
train	chain3_57_169_342_264_103_179	WHERE IS A GOOD PLACE TO EAT?	In the restaurant near the lake.	What type of cuisine is it?	It is Mediterranean.	Do they have Happy Hour?	I am not sure, you may have to call them.
train	chain2_646_1085_425_1075_719_299	What's the weather like tomorrow?	Sunny with a chance of rain.	Means it for sure will rain.	It probably won't rain, unless you forget your umbrella.	I hope it does rain then I won't have to water my plants.	We have a sprinkler system that does that.
train	chain2_551_375_935_859_625_442	Would you please warm up my food?	Sure, I'll put it in the microwave	Thank you very much, that's kind of you.	Anything else I can get you while I am up?	Can I get a glass of water, please?	yes, let me get some.
train	chain2_95_330_163_1012_311_467	Would you want to eat again?	Maybe later, my stomach's not feeling up to it.	Are you ill?	Just a little nauseous.	Okay, I hope you feel better soon.	Thank you for your concern.
train	chain2_1962_944_683_482_568_781	Could I please speak to a manager?	Yes, M'am. I'm the manager.	I want to file a complaint.	I'm so sorry for your trouble! What happened?	I ordered a grilled cheese but was served a cheeseburger.	I'm very sorry this happened. Let me correct that for you.
train	chain2_1832_380_429_1090_472_396	Do you play any instruments?	I do not play a instrument.	Too bad, latest study says people who play instruments live longer.	Maybe I'll take up the piano.	Good idea. I'll take up the tuba and we can start up a band.	Super. I'll look up when the next American Idol auditions are for us to try out.
train	chain2_152_1289_1291_433_1026_258	What did you buy today?	I bought a new pair of shoes from Amazon, and a book by David Foster Wallace.	How much did it cost?	About thirty dollars for the shoes and twenty dollars for the book. I started reading it and I don't much like it, though.	That's unfortunate. What is the book about?	It's 200 pages long and only pictures of Wallace's childhood.
train	chain2_399_255_1247_244_659_837	Where is my phone?	I think I saw your phone on the kitchen counter.	I already looked there.	Oh, maybe it was the bathroom counter then.	I wasn't in the bathroom.	I'm sorry. I guess I haven't seen it then.
train	chain2_50_29_1021_110_159_954	What made you say that?	IT JUST SLIPPED OUT.	Well now you're in trouble.	WHAT ARE YOU GOING TO DO ABOUT IT?	Nothing, I think your wife already suspects and it won't be long till she calls you on it.	Oh no, you're probably right.
train	chain2_956_654_1098_618_1115_1061	Can I have a cup of coffee?	YES, DO YOU WANT CREAM AND SUGAR?	Yes, please, plenty of both.	I LIKE LOTS OF CREAM AND SUGAR TOO!	It's the only way I can drink it.	okay, lots of cream and sugar..
train	chain2_905_1384_1030_187_1072_64	Could you please turn down the heat?	Sorry. That's my natural radiance.	I think you are too cocky.	Nah, I'm just letting you know just how hot I am.	You are not that hot!	That's a matter of opinion.
train	chain3_281_192_386_349_256_109	who did you go with?	I went with my husband and children.	Was the place children-friendly?	Yes, it was absolutely child-friendly.	Did they have lots for the kids to due?	they had an array of exciting things like games, face painting, and even some kiddie rides.
train	chain2_1897_1178_1194_1130_521_68	What time is it?	It is 10:30 AM.	Oh gosh, it's still morning?	That's what AM means.	I feel like it has been 3 hours since i got here!	The day does seem to be going by extra slow today.
train	chain2_1235_701_1037_279_1201_616	What did you accomplish today?	Oh, I went to Mrs.Miller and got my money.	Did you get it all?	Yes, finally. Now I can afford a new car!	That must have been a lot of money!	It is enough for a down payment.
train	chain2_832_1345_961_1054_789_635	Is someone moving in next door?	Next week somebody will move in.	Do you know who it is?	I think a college student.	Oh great, hopefully they're not the partying type!	I don't think so, because the home is owned by the pastor and his wife, and I'm sure they would screen for quiet students.
train	chain2_801_1029_1054_375_95_21	Why is George crying?	He stubbed his toe	Oh, I'm sure he'll be fine in a few minutes.	Yeah, he's a bit of a drama queen.	Yeah, he cries all of the time!	At least you aren't having to deal with him.
train	chain2_211_1295_563_1281_189_479	What is an avocado?	IT'S A FRUIT.	No, it is an delicious, exotic meat from Nigeria.	Wrong, steak is a delicious meat, avocado is a fruit.	I know; I was just kidding.	Avocado is a fruit and a member of the berry family, in case you didn't know.
train	chain2_1320_896_52_311_464_973	How was your day?	Dull as dishwater. How about yours?	Better than your apparently.	Yes, I would say so.	I think we need to spice up your life.	Me too, but between work and the kids' activities, I barely have time for myself.
train	chain2_1660_385_1140_854_292_902	What are your goals for your stay here?	I want to learn a lot and do some networking!	Great!  Would you like to sign up for any panels?	Absolutely I would!	You are so enthusiastic! Is this your first time here?	Yes, how could you tell?
train	chain2_1949_1203_1393_982_943_1072	Where is it from?	I'm not sure, I just found it by the door.	Well let's open it!	But it's not addressed to us.	Who is it addressed to?	what is the address?
train	chain2_597_1317_1361_822_557_524	Where do you keep your class schedule?	In my class schedule carrying case. Duh.	Where do you put your case?	In its case.	A case inside a case?	Sorry I practice safe hygeine and don't want germs infesting my class schedule the way yours is.
train	chain2_512_390_1312_575_62_187	Can you call my mother?	Sure, do you know her number?	I WILL HAVE TO LOOK IT UP	Okay, let me know when you find it.	Why don't you have your mother's phone number?	She changed it recently.
train	chain3_77_203_7_25_49_86	Why did you leave me?	I left because our conversations left something to be desired.	I'm sorry you feel this way.	See this is what I'm talking about. You're just kind of boring.	Just because I don't want to let you know put that you know what in you know where, doesn't mean I'm boring.	No, you're also immature.
train	chain2_176_484_1265_313_905_1022	Can you help me to the bathroom?	come on then	You could be nicer about it. I will just try to go, myself.	I'm sorry, I was trying to be encouraging.	It's just that today hasn't been one of my better days.	That happens to everyone.
train	chain2_599_732_215_72_701_433	Where is the book store?	IT'S AT THE MALL.	On which wing of the mall?	Malls can't fly silly!	I guess I asked the wrong person; what an idiot!	I was just kidding!
train	chain2_1732_592_644_297_352_262	So whats the plan tomorrow?	The plan is not to die.	You sound prepared, man!	Well, I'm doing the best I can.	Right, you can never be too sure these days.	Exactly, so besides staying alive, did you have any plans for tomorrow?
train	chain2_846_1007_161_1005_248_282	Did we go to school together?	Yes, you were a year ahead of me.	Maybe you were a year behind me...	I was, you were in the same class as my cousin	Can you get the facts right?	You are very clever aren't you?
train	chain3_310_257_146_285_141_234	How was your day?	It's was alright. We had a meeting at work about the new owners.	Did your company get bought out?	Yes, and the merger isn't going too well so far.	Im very sorry.	At least my boss has given us his word that no one will be fired.
train	chain2_1909_362_475_1196_296_875	When willl you be coming back?	I'll be back in two weeks on the 8th.	Care to stop by before you leave?	Sure, will you be home on Sunday afternoon?	Until 11, I have a brunch planned.	I see, how about Sunday evening?
train	chain2_2052_285_88_487_722_239	Can you work overtime?	Not today sorry	Are you available to work the weekend then?	I can work on Sunday if that helps.	Great, I need someone on Sunday from 9 to 9.	Will i get paid money or can i take an extra day off?
train	chain3_260_148_303_197_335_267	What kind of music do you like?	I love classical music especially the piano.	Who is your favorite composer?	Chopin, of course.  And you?	For me it is batobin	I've never heard of Batobin, tell me more about their work!
train	chain2_1175_407_252_223_446_687	Could you please put in the air conditioner?	Sure, I can install it tomorrow.	Did I stutter...I mean now	Maybe you should install it yourself or ask Fred to do it.	Fred has pneumonia. He can't do it.	Well you have 2 hands of your own so maybe you should do it and drop the attitude.
train	chain3_244_116_229_46_91_161	What's in the big box on the table?	I got your sister a present and am going to wrap it up.	It's already wrapped up.  Are you forgetting things again, Mom?	Oh, I'm sorry. There were just a few things running through my mind.	So what is the present?	Its one of the juice machines you see on tv all the time.
train	chain2_37_112_288_401_261_512	Do you think it went well?	I think it went as well as it could have.	What could have been better?	It could have been a little shorter.	How long did it take?	A little too long for my comfort.
train	chain3_344_324_261_116_218_38	So when you turn sixteen are you going to go for your driver's license?	Yes I just can't wait!	Aren't you scared of driving?	Of course not!	I was terrified of driving when I was your age.	You were my age?
train	chain2_1052_582_996_1165_267_929	Have you met my brother?	I don't believe I have.	Let me introduce you to him.	Before you do, I need to know, is he funny?	He's hilarious. You're going to love him.	Cool, let's have some fun!
train	chain2_1737_907_430_1095_1053_1076	Do we go for the tests, today?	Yes, lets go for the test.	I think you're a little too eager to go.	The sooner we go for the tests, the sooner we can get started on making a baby.	I am a little nervous; aren't you?	Of course I am!
train	chain2_1014_1243_63_356_1186_535	Can you bring me a mirror?	YES, JUST A MINUTE.	Okay, thank you!	Do you know where it is?	It's on the dresser in your bedroom.	Why is it in my bedroom?
train	chain2_1627_1388_1245_237_522_842	What was your favorite surfing experience?	Last summer in Hawaii is probably my favorite.	Oh man, that sounds awesome, what was the water like that day?	Huge  waves  bright  sun  it  was  awesome	Wow, I would love to visit there!	we can go this summer.
train	chain2_581_1186_1260_287_130_353	How old are you?	I AM 49 YEARS OLD.	Any big plans for your 50th?	Yes, I am going to buy a Smart car.	That sounds fun. I hear they are really fuel efficient.	Yes, the conserve fuel by taking away all the ridiculous protective features designed to keep you alive should another car collide with you.
train	chain2_1333_647_612_76_847_491	Can I have some wine?	Here is your glass.	Thanks so much.	What do you think of the wine?	it is so tasty	Ooooh, do you have some cheese and crackers?
train	chain2_900_566_857_429_821_1053	Can you give me a lift?	Yes I will drive you	God, you are such a lifesaver!  Thanks!	Oh, I'm happy to do it. God knows you've helped me out lots of times. I know what it feels like to not have a car available.	I appreciate it so much.	No problem. I know you'd do it for me.
train	chain2_1445_289_391_916_515_204	Can you check my eBay account?	Sure, what do you want me to look at?	I need to know if anyone bought anything.	Sure, what's your eBay name?	It's under Mittens510.	I don't see any recent transactions.
