dialogue_id	turn_id	utterance
36	a1	What time did you schedule our pedicures for?
36	b1	Tomorrow morning at 10
37	a2	Ok, you better not be late.
37	b2	I already set my alarm.
38	a3	Great, see you then.
38	b3	Are you coming with me?
39	a1	Would you like to watch a movie on Netflix with me?
39	b1	Sure, why not. What should we watch?
40	a2	I'm sure there's another Adam Sandler movie. I think he makes one a week.
40	b2	Yeah, that's why we shouldn't watch one of them. They're too boring and predictable.
41	a3	I think Deadpool is available. it's supposed to be stupid funny.
41	b3	No, i've seen it. It was worse than you could imagine.
42	a1	Would you please pick up a birthday gift and a card for my granddaughter?
42	b1	Yes, I will get both of those for you.
43	a2	What is she into right now?
43	b2	She really likes the screaming music, you know the one you can't understand.
44	a3	Oh well, I would need some advice then!
44	b3	No worries I ll get them.
45	a1	What are you doing this weekend?
45	b1	I'm going to the beach.
46	a2	I hope it's not raining.
46	b2	Yeah I want to work on my tan this weekend.
47	a3	Do you mind if I come?
47	b3	Wow I d love if you join.
48	a1	What's the dosage of my medicines?
48	b1	I don't know. I'll have to check the labels on all the bottles.
49	a2	Thanks. I'll have to write them down next time.
49	b2	Let me get a pencil and do that for you now.
50	a3	I appreciate it. It's hard to keep track of all this!
50	b3	I'm happy to help!
51	a1	Hmm, what was that guy's name?
51	b1	I didn't catch it either.
52	a2	I think it started with an 'S'.
52	b2	It might have been Shane.
53	a3	I'll ask him to remind me next time I see him.
53	b3	Good idea. Shane or Sean, I think.
54	a1	What is for dinner?
54	b1	Whatever you're making for us, dear.
55	a2	What do you feel like having?
55	b2	Why do I have to decide?
56	a3	OK, then I'll decide, but you have to promise not to wrinkle your nose when I tell you what I'm making.
56	b3	Not a problem!
57	a1	How long have you been driving?
57	b1	You mean today or for my lifetime? Today for about a 1/2 hour; for my life, about 12 years.
58	a2	I meant your lifetime.
58	b2	Well there you go.
59	a3	What cars have you driven since you've been driving?
59	b3	That were mine? Two.
60	a1	What are we having for breakfast?
60	b1	Pancakes and bacon.
61	a2	Sorry, I'm allergic to bacon.
61	b2	Should I make sausage instead?
62	a3	no idon't like it
62	b3	Well what do you want?
63	a1	How did your vacation in California go?
63	b1	My vacation was great, thanks!
64	a2	Where did you go in California?
64	b2	We went into San Fransisco to do the usual tour stops!
65	a3	You should have gone off the beaten path. There's more to California than San Francisco.
65	b3	Have you thought about checking out ghost towns?
66	a1	Do cats like rain?
66	b1	No. Because cats hate to get wet.
67	a2	But tigers love to swim, so maybe some cats like rain, right?
67	b2	You must be a lot of fun at parties.
68	a3	And you must not know many cats.
68	b3	No, thankfully! I am a dog person.
69	a1	Can you get me a blanket please?
69	b1	Sure, here you go
70	a2	Thanks, can you wrap it around mt feet?
70	b2	Sure, is that comfortable?
71	a3	Oh yes, that's wonderful.
71	b3	Do you want me to massage your shoulders?
72	a1	Did you go out last night?
72	b1	No, I stayed in and ordered pizza.
73	a2	Me, too! We should split one next time!
73	b2	Sure, but we would have to split the distance between us as well.
74	a3	Yeah, you're right. That wouldn't work.
74	b3	Well, it might!
75	a1	can we discuss this once you are done reading?
75	b1	Ok. We can discuss it after I finish reading.
76	a2	How long do you think you will take?
76	b2	I should be done in about 20 minutes.
77	a3	Okay, I'l just sit here and stare at you
77	b3	That's creepy, why not do something else instead?
78	a1	Did you enjoy your meal here?
78	b1	It was okay.
79	a2	Mine was delicious.
79	b2	Mine would have been better if it didn't have capers in it. I hate those things.
80	a3	Don't forget to ask them to take them out next time. They'll accommodate you.
80	b3	Great idea my meal would then be perfect.
81	a1	Did you bring some new books?
81	b1	Yes, I brought some new books.
82	a2	Did you bring anything really good?
82	b2	Maybe, depends on what kind of books you like to read.
83	a3	I like to read the classics. Do you have any?
83	b3	I have some of the Bronte's novels.
84	a1	Do you know where my shoes are?
84	b1	They're in the garage by the door.
85	a2	What are they doing there?
85	b2	I was mowing the lawn.
86	a3	Wearing my shoes? Are they covered in grass now?
86	b3	Well I hardly wanted to get my own shoes covered in grass!
87	a1	Can you please get me some water?
87	b1	Yes sparkling or still?
88	a2	Whatever is easiest for you.
88	b2	Okay, coming right up.
89	a3	Can you put a slice of lemon in it?
89	b3	yes, let me get that
90	a1	I love that author, are you enjoying the book?
90	b1	Yes I am
91	a2	You should join me at my book club meeting next Tuesday.
91	b2	I'd love to! What time?
92	a3	It's a seven p.m. Do you think you can make it?
92	b3	I think I can be there.
93	a1	What do you want to do today?
93	b1	I'd like to go to the mall.
94	a2	What do you plan on buying in the mall?
94	b2	I don't plan on buying anything, I just want to people watch.
95	a3	what time do you want to meet at the mall?
95	b3	I would like to meet at 3 pm.
96	a1	Do you want to go swimming with me?
96	b1	No, I can't swim.
97	a2	I can teach you how to swim.
97	b2	When do you want to start?
98	a3	We can start as soon as we can hit the beach!
98	b3	Great, let's go!
99	a1	What time are we having our family barbeque?
99	b1	Probably around 4:00.
100	a2	Awesome! I'll be ready for you to pick me up around 2:00 PM.
100	b2	Sure, can you bring some salad?
101	a3	Sure, any kind in particular?
101	b3	Mother-in-law likes Caesar, so anything else but that one!
102	a1	What are you eating?
102	b1	Popcorn. Want some?
103	a2	Sure, please pass me some.
103	b2	This is so salty, you have anything to drink?
104	a3	I have some water, would you like some?
104	b3	Yes please. Thank you.
105	a1	Is it already spoiled?
105	b1	Yes throw it out!
106	a2	This produce went bad quickly.
106	b2	At least we compost, so it doesn't go to a landfill.
107	a3	How interesting. How does composting work?
107	b3	It's not hard really.
108	a1	Do you watch TV?
108	b1	I only download my shows over the internet.
109	a2	What's your favorite program?
109	b2	I really enjoy Game of Thrones.
110	a3	Never seen it, sounds stupid.
110	b3	Why are you judging something you've never seen?
111	a1	Did you call the repair man?
111	b1	Sure did. He's coming tomorrow morning.
112	a2	What time tomorrow?
112	b2	Sometime between 9 AM and 5 PM. That was all he could promise.
113	a3	Great. There goes my entire day off. I hope he shows up early.
113	b3	Me too, I hope you dont have to wait around all day
114	a1	Is there anything fun to do that is also affordable?
114	b1	Nothing around here.
115	a2	Not even a movie or an ice cream parlor?
115	b2	Movies are too expensive these days. But we could get some ice cream
116	a3	Is there a Bruster's around here?
116	b3	No, but there is a Cold Stone right around the corner.
117	a1	Do you have any cash?
117	b1	I don't carry cash with me.
118	a2	Why don't you carry cash?
118	b2	Everything is a slide card now, where have you been?
119	a3	Buying at small shops and food stalls, I guess.
119	b3	Oh, I guess cash does come in handy sometimes, then.
120	a1	Why are you here?
120	b1	I had nothing better to do.
121	a2	I have something for you to do, I need help cleaning the garage today!
121	b2	Oh I just remembered I have stuff to do. BYE!
122	a3	Yeah sure, you lazy bum.
122	b3	You don't have to clean the garage today.
123	a1	Can I please get a hot chocolate?
123	b1	Sure, I would be happy to get that for you.
124	a2	How much will it cost?
124	b2	It's 50, but, I'll buy it for you.
125	a3	Thanks. You don't have to do that.
125	b3	it's okay, no problem.
126	a1	Could you stop that?
126	b1	No, I like doing it
127	a2	Well, could you keep it down, it's kind of annoying?
127	b2	Put some earplugs in if you don't like it.
128	a3	Okay stop doing it right now or you are grounded.
128	b3	okay okay,don't get mad
129	a1	Where can we go today?
129	b1	we can go to mall
130	a2	Would you prefer the outlet instead of the inside mall?
130	b2	Either one is fine with me.
131	a3	I only got half of my allowance this week, that's why I want to go to the outlet.
131	b3	OK, that is fine with me.
132	a1	Can I borrow a pen?
132	b1	Yes you can.
133	a2	Do you have a red pen, by any chance?
133	b2	No, only a blue one.
134	a3	Blue one will do
134	b3	Here you go.
135	a1	Do you want to go the casino tomorow?
135	b1	Sure, I have a new system I'm certain will work.
136	a2	That's what they all say. Which machine are you headed to?
136	b2	The slot machines. That's where I always go first.
137	a3	Beware the one-armed bandit!
137	b3	I only take $20 and play until it's gone.
138	a1	Where do you work?
138	b1	Currently, in the southwest region of the US.
139	a2	Well that's not very specific.
139	b2	I work in a small city in Arizona.
140	a3	Do you like it there?
140	b3	It's ok. small town so not much to do.
141	a1	Any good news from my lawyer?
141	b1	I'm still waiting to hear back from your lawyer.
142	a2	Okay, please let me know once you hear something from him.
142	b2	Why are you so curious for me to tell you that?
143	a3	Well it concerns me, too.
143	b3	What is all this about?
144	a1	What time is dinner?
144	b1	I can't be bothered to cook.
145	a2	Are you just going to get take-out when you get hungry?
145	b2	Yeah, that's what I'm feeling like.
146	a3	Want to get some chinese food?
146	b3	Sure, I'm hungry now!
147	a1	Can I please have a look?
147	b1	You can take a quick peek.
148	a2	Where did you find that?
148	b2	It was in the garage.
149	a3	Ewww gross, what are you going to do with it?
149	b3	I'm going to eat it.
150	a1	When did you come in the room?
150	b1	I came in a few minutes ago.
151	a2	And what happened then?
151	b2	I set down my purse, and that's when the doorbell rang.
152	a3	Why were you in my room in the first place?
152	b3	I was coming to say hi after a long day. No need to be defensive.
153	a1	How is your family?
153	b1	Everyone is well, thank you.
154	a2	Kids still doing well in school?
154	b2	Yes, Kristen made the honor roll and decided she wants to be a veterinarian. Ethan is loving his art classes.
155	a3	Smart and ambitious, these kids are going places!
155	b3	To be honest, I'm a little worried about Ethan's math grades, but he has been working really hard and I think he's starting to improve.
156	a1	Why are you cold?
156	b1	I am always cold
157	a2	Do you need me to turn the air conditioner off?
157	b2	Maybe just turn it down. I don't want to inconvenience everyone else.
158	a3	Or I could bring you a sweater.
158	b3	no just turn the ac down a bit
159	a1	What is your favorite movie?
159	b1	I have a hard time choosing just one. Right now I really enjoy Deadpool and Star Wars Force Awakens.
160	a2	What did you like about Deadpool? I heard it was a bunch of uninspired humor.
160	b2	I really like the characters.
161	a3	Well the main actor is very cute.
161	b3	Wade Wilson or shall I say Ryan Reynolds is not my type but the detailing and the graphics of his action moves were phenomenal.
162	a1	No way, did he really?
162	b1	Yes, he did.
163	a2	I wonder why he did that.
163	b2	He's such a jerk.
164	a3	I'm sorry he did that to you.
164	b3	It wasn't the first time but I can promise it will definitely be the last, I'm done.
165	a1	Can you fill out my tax declaration?
165	b1	Yes I will do it later on tonight.
166	a2	Sorry for the rush!
166	b2	Not a problem at all.
167	a3	I appreciate your help very much. Thanks.
167	b3	Not a problem!
168	a1	When did you come?
168	b1	I came yesterday.
169	a2	So why are you now just telling me?
169	b2	Well I thought I'd surprise you.
170	a3	I wish you had told me sooner.
170	b3	If I had told you sooner, it wouldn't have been a surprise. But next time, I'll let you know so you can bake me a cake.
171	a1	Are we there yet?
171	b1	We should be there shortly.
172	a2	Are there yet now?
172	b2	Johnny, stop. You know we aren't there yet. I'll tell you when we're getting close.
173	a3	Are we there yet?
173	b3	We're turning around next time you ask.
174	a1	How much homework do you have tonight?
174	b1	Way more than I want. I've been letting it slide.
175	a2	This is what you get for procrastinating!
175	b2	Want to do them together?
176	a3	No, I'm all caught up with mine. Sorry!
176	b3	No problem. How long did it take you to finish it?
177	a1	Could you come over whenever you've got time?
177	b1	I'll be there at 8pm.
178	a2	ok, I'll be home then.
178	b2	Cool, I'll clear the driveway so there's room for you to park.
179	a3	Don't worry, I'll be riding my bike!
179	b3	Call when you arrive and I will open the garage for you to put your bike inside.
180	a1	What did she say?
180	b1	She said she never even got a message from you. What's the deal?
181	a2	the deal is that I've been sick.
181	b2	So, you lied to her about sending her a message?
182	a3	Not really, I intended to, but things got in the way.
182	b3	what actually happened?
183	a1	Does she have any friends?
183	b1	More than I could ever imagine.
184	a2	Are most of her friends females?
184	b2	No, they're mostly men.
185	a3	Better keep a close watch on that one. Beauty, brains, and athletic abilities just draw the men to her.
185	b3	I know, the struggle is real.
186	a1	Do I know you?
186	b1	No. Not at all.
187	a2	I'm pretty certain we've met.
187	b2	Maybe we went to school together?
188	a3	No, I think it is from somewhere else.
188	b3	Well I don't seem to recall ever meeting you.
189	a1	Where Is a good place to eat?
189	b1	In the restaurant near the lake.
190	a2	What type of cuisine is it?
190	b2	It is Mediterranean.
191	a3	Do they have Happy Hour?
191	b3	I am not sure, you may have to call them.
192	a1	What's the weather like tomorrow?
192	b1	Sunny with a chance of rain.
193	a2	Means it for sure will rain.
193	b2	It probably won't rain, unless you forget your umbrella.
194	a3	I hope it does rain then I won't have to water my plants.
194	b3	We have a sprinkler system that does that.
195	a1	Would you please warm up my food?
195	b1	Sure, I'll put it in the microwave
196	a2	Thank you very much, that's kind of you.
196	b2	Anything else I can get you while I am up?
197	a3	Can I get a glass of water, please?
197	b3	yes, let me get some.
198	a1	Would you want to eat again?
198	b1	Maybe later, my stomach's not feeling up to it.
199	a2	Are you ill?
199	b2	Just a little nauseous.
200	a3	Okay, I hope you feel better soon.
200	b3	Thank you for your concern.
201	a1	Could I please speak to a manager?
201	b1	Yes, M'am. I'm the manager.
202	a2	I want to file a complaint.
202	b2	I'm so sorry for your trouble! What happened?
203	a3	I ordered a grilled cheese but was served a cheeseburger.
203	b3	I'm very sorry this happened. Let me correct that for you.
204	a1	Do you play any instruments?
204	b1	I do not play a instrument.
205	a2	Too bad, latest study says people who play instruments live longer.
205	b2	Maybe I'll take up the piano.
206	a3	Good idea. I'll take up the tuba and we can start up a band.
206	b3	Super. I'll look up when the next American Idol auditions are for us to try out.
207	a1	What did you buy today?
207	b1	I bought a new pair of shoes from Amazon, and a book by David Foster Wallace.
208	a2	How much did it cost?
208	b2	About thirty dollars for the shoes and twenty dollars for the book. I started reading it and I don't much like it, though.
209	a3	That's unfortunate. What is the book about?
209	b3	It's 200 pages long and only pictures of Wallace's childhood.
210	a1	Where is my phone?
210	b1	I think I saw your phone on the kitchen counter.
211	a2	I already looked there.
211	b2	Oh, maybe it was the bathroom counter then.
212	a3	I wasn't in the bathroom.
212	b3	I'm sorry. I guess I haven't seen it then.
213	a1	What made you say that?
213	b1	It just slipped out.
214	a2	Well now you're in trouble.
214	b2	What are you going to do about It?
215	a3	Nothing, I think your wife already suspects and it won't be long till she calls you on it.
215	b3	Oh no, you're probably right.
216	a1	Can I have a cup of coffee?
216	b1	Yes, do you want cream and sugar?
217	a2	Yes, please, plenty of both.
217	b2	I like lots of cream and sugar too!
218	a3	It's the only way I can drink it.
218	b3	okay, lots of cream and sugar.
219	a1	who did you go with?
219	b1	I went with my husband and children.
220	a2	Was the place children-friendly?
220	b2	Yes, it was absolutely child-friendly.
221	a3	Did they have lots for the kids to due?
221	b3	they had an array of exciting things like games, face painting, and even some kiddie rides.
222	a1	What time is it?
222	b1	It is 10:30 AM.
223	a2	Oh gosh, it's still morning?
223	b2	That's what AM means.
224	a3	I feel like it has been 3 hours since I got here!
224	b3	The day does seem to be going by extra slow today.
225	a1	What did you accomplish today?
225	b1	Oh, I went to Mrs. Miller and got my money.
226	a2	Did you get it all?
226	b2	Yes, finally. Now I can afford a new car!
227	a3	That must have been a lot of money!
227	b3	It is enough for a down payment.
228	a1	Is someone moving in next door?
228	b1	Next week somebody will move in.
229	a2	Do you know who it is?
229	b2	I think a college student.
230	a3	Oh great, hopefully they're not the partying type!
230	b3	I don't think so, because the home is owned by the pastor and his wife, and I'm sure they would screen for quiet students.
231	a1	Why is George crying?
231	b1	He stubbed his toe
232	a2	Oh, I'm sure he'll be fine in a few minutes.
232	b2	Yeah, he's a bit of a drama queen.
233	a3	Yeah, he cries all of the time!
233	b3	At least you aren't having to deal with him.
234	a1	What is an avocado?
234	b1	It's a fruit.
235	a2	No, it is an delicious, exotic meat from Nigeria.
235	b2	Wrong, steak is a delicious meat, avocado is a fruit.
236	a3	I know; I was just kidding.
236	b3	Avocado is a fruit and a member of the berry family, in case you didn't know.
237	a1	How was your day?
237	b1	Dull as dishwater. How about yours?
238	a2	Better than your apparently.
238	b2	Yes, I would say so.
239	a3	I think we need to spice up your life.
239	b3	Me too, but between work and the kids' activities, I barely have time for myself.
240	a1	What are your goals for your stay here?
240	b1	I want to learn a lot and do some networking!
241	a2	Great! Would you like to sign up for any panels?
241	b2	Absolutely I would!
242	a3	You are so enthusiastic! Is this your first time here?
242	b3	Yes, how could you tell?
243	a1	Where is it from?
243	b1	I'm not sure, I just found it by the door.
244	a2	Well let's open it!
244	b2	But it's not addressed to us.
245	a3	Who is it addressed to?
245	b3	what is the address?
246	a1	Where do you keep your class schedule?
246	b1	In my class schedule carrying case. Duh.
247	a2	Where do you put your case?
247	b2	In its case.
248	a3	A case inside a case?
248	b3	Sorry I practice safe hygeine and don't want germs infesting my class schedule the way yours is.
249	a1	Can you call my mother?
249	b1	Sure, do you know her number?
250	a2	I will have to look It up
250	b2	Okay, let me know when you find it.
251	a3	Why don't you have your mother's phone number?
251	b3	She changed it recently.
252	a1	Can you help me to the bathroom?
252	b1	come on then
253	a2	You could be nicer about it. I will just try to go, myself.
253	b2	I'm sorry, I was trying to be encouraging.
254	a3	It's just that today hasn't been one of my better days.
254	b3	That happens to everyone.
255	a1	Where is the book store?
255	b1	It's at the mall.
256	a2	On which wing of the mall?
256	b2	Malls can't fly silly!
257	a3	I guess I asked the wrong person; what an idiot!
257	b3	I was just kidding!
258	a1	So whats the plan tomorrow?
258	b1	The plan is not to die.
259	a2	You sound prepared, man!
259	b2	Well, I'm doing the best I can.
260	a3	Right, you can never be too sure these days.
260	b3	Exactly, so besides staying alive, did you have any plans for tomorrow?
261	a1	Did we go to school together?
261	b1	Yes, you were a year ahead of me.
262	a2	Maybe you were a year behind me.
262	b2	I was, you were in the same class as my cousin
263	a3	Can you get the facts right?
263	b3	You are very clever aren't you?
264	a1	How was your day?
264	b1	It's was alright. We had a meeting at work about the new owners.
265	a2	Did your company get bought out?
265	b2	Yes, and the merger isn't going too well so far.
266	a3	Im very sorry.
266	b3	At least my boss has given us his word that no one will be fired.
267	a1	When willl you be coming back?
267	b1	I'll be back in two weeks on the 8th.
268	a2	Care to stop by before you leave?
268	b2	Sure, will you be home on Sunday afternoon?
269	a3	Until 11, I have a brunch planned.
269	b3	I see, how about Sunday evening?
270	a1	Can you work overtime?
270	b1	Not today sorry
271	a2	Are you available to work the weekend then?
271	b2	I can work on Sunday if that helps.
272	a3	Great, I need someone on Sunday from 9 to 9.
272	b3	Will I get paid money or can I take an extra day off?
273	a1	What kind of music do you like?
273	b1	I love classical music especially the piano.
274	a2	Who is your favorite composer?
274	b2	Chopin, of course. And you?
275	a3	For me it is batobin
275	b3	I've never heard of Batobin, tell me more about their work!
276	a1	Could you please put in the air conditioner?
276	b1	Sure, I can install it tomorrow.
277	a2	Did I stutter, I mean now
277	b2	Maybe you should install it yourself or ask Fred to do it.
278	a3	Fred has pneumonia. He can't do it.
278	b3	Well you have 2 hands of your own so maybe you should do it and drop the attitude.
279	a1	What's in the big box on the table?
279	b1	I got your sister a present and am going to wrap it up.
280	a2	It's already wrapped up. Are you forgetting things again, Mom?
280	b2	Oh, I'm sorry. There were just a few things running through my mind.
281	a3	So what is the present?
281	b3	Its one of the juice machines you see on tv all the time.
282	a1	Do you think it went well?
282	b1	I think it went as well as it could have.
283	a2	What could have been better?
283	b2	It could have been a little shorter.
284	a3	How long did it take?
284	b3	A little too long for my comfort.
285	a1	So when you turn sixteen are you going to go for your driver's license?
285	b1	Yes I just can't wait!
286	a2	Aren't you scared of driving?
286	b2	Of course not!
287	a3	I was terrified of driving when I was your age.
287	b3	You were my age?
288	a1	Have you met my brother?
288	b1	I don't believe I have.
289	a2	Let me introduce you to him.
289	b2	Before you do, I need to know, is he funny?
290	a3	He's hilarious. You're going to love him.
290	b3	Cool, let's have some fun!
291	a1	Do we go for the tests, today?
291	b1	Yes, lets go for the test.
292	a2	I think you're a little too eager to go.
292	b2	The sooner we go for the tests, the sooner we can get started on making a baby.
293	a3	I am a little nervous; aren't you?
293	b3	Of course I am!
294	a1	Can you bring me a mirror?
294	b1	Yes, just a minute.
295	a2	Okay, thank you!
295	b2	Do you know where it is?
296	a3	It's on the dresser in your bedroom.
296	b3	Why is it in my bedroom?
297	a1	What was your favorite surfing experience?
297	b1	Last summer in Hawaii is probably my favorite.
298	a2	Oh man, that sounds awesome, what was the water like that day?
298	b2	Huge waves bright sun it was awesome
299	a3	Wow, I would love to visit there!
299	b3	we can go this summer.
300	a1	Can I have some wine?
300	b1	Here is your glass.
301	a2	Thanks so much.
301	b2	What do you think of the wine?
302	a3	it is so tasty
302	b3	Oh, do you have some cheese and crackers?
303	a1	Can you check my eBay account?
303	b1	Sure, what do you want me to look at?
304	a2	I need to know if anyone bought anything.
304	b2	Sure, what's your eBay name?
305	a3	It's under Mittens510.
305	b3	I don't see any recent transactions.
306	a1	What will be the color?
306	b1	The color will be red.
307	a2	What kind of red, bright or deep?
307	b2	A bright red, I guess. What do you mean by a deep red, though?
308	a3	You know, like a dark red.
308	b3	Deep is more like burgundy, right?
309	a1	Where did you find that shirt?
309	b1	The shirt Is good one and find In the shopping mall
310	a2	Really? Which store did you find it in?
310	b2	I found this here shirt all the way in the back of Spencer's under a pile of 15 others.
311	a3	You are so brave and strong to lift 15 shirts up to find that one.
311	b3	Why thank you, and you are very clever and beautiful to have noticed my manly strength.
312	a1	What color blanket is on your bed?
312	b1	Depends on how long the cats have been sleeping there.
313	a2	Before the cats have been laying on it.
313	b2	I can't even remember, possibly turquoise.
314	a3	Too bad you don't own Russian Blues.
314	b3	You think they would go well with my possibly turquoise blanket?
315	a1	Have you ever been on a boat ride?
315	b1	Yes, but I get sea sick.
316	a2	Have you tried getting some tablets to help that?
316	b2	I have, but they didn't even work.
317	a3	So even with the tablets you threw up all over the boat?
317	b3	Yeah even taking some motion sickness tablets. I mean it helped a little but I still felt sea sick.
318	a1	Which country are you from?
318	b1	I'm from the United States of America.
319	a2	You're very lucky, then.
319	b2	I guess so. I haven't really thought about it.
320	a3	You should certainly think about. There are so many benefits.
320	b3	Perhaps you're right. I will look into that.
321	a1	Can we go to bed?
321	b1	No. We have too much work to do.
322	a2	I just hope we can finish it before my favorite show comes on!
322	b2	We will never finish the work in time.
323	a3	Not with that attitude we won't.
323	b3	Well, we'll have to work more efficiently at lest.
324	a1	Did you see that play?
324	b1	Yes, it was terrible.
325	a2	That's good to know because I was thinking about going to see it sometime.
325	b2	Don't bother, it's not worth the ticket price.
326	a3	I'll probably just go to the casino instead. Do you want to come?
326	b3	Yeah. I love slot machines.
327	a1	Want to go to the store?
327	b1	Sure! Lets go.
328	a2	Shall I drive or will you?
328	b2	You can drive.
329	a3	OK, can we take your car?
329	b3	No, I just got it washed and it looks like it's gonna rain.
330	a1	Where is my blue shirt?
330	b1	You're wearing it, Dan. Time to get your eyes checked, buddy.
331	a2	Oh haha, maybe I should get them checked!
331	b2	Are you colorblind?
332	a3	No, I just can't see blue, green, red or yellow.
332	b3	That's being colorblind, Dan.
333	a1	Would you pick up the book for me when you go?
333	b1	Sure just text me in case I forget.
334	a2	You forget everything. I will text you.
334	b2	About what? I've already forgotten.
335	a3	Ha ha very funny, anyway it is the book by Stephen King.
335	b3	What is the title? Stephen King has a lot of books.
336	a1	What time is it now?
336	b1	Time you got a watch.
337	a2	I wish I have one but I don't!
337	b2	You really should get a watch, man!
338	a3	I'll go buy one tomorrow.
338	b3	Well then you know it's the day before tomorrow, ha ha!
339	a1	Where do you live now?
339	b1	I live on Carlyle Ave.
340	a2	Hey! I don't live far from there!
340	b2	You should come over sometime.
341	a3	How about tomorrow night?
341	b3	Awesome! be my guest.
342	a1	How was your day?
342	b1	It was very good
343	a2	Did you spend any time outside?
343	b2	Not much, it was rainy.
344	a3	What did you do, then?
344	b3	I stayed inside and watched movies.
345	a1	Could you fix this?
345	b1	If I have some help yes
346	a2	Who should I call?
346	b2	Nobody; I'm here to help any way I can.
347	a3	So you're saying you're going to help yourself?
347	b3	No, I only need you to help me with it.
348	a1	When did you call me?
348	b1	I called you this morning.
349	a2	Don't ever wake me up at 5 am. again
349	b2	I'm sorry, I forgot about the time difference.
350	a3	Well, always remember that I'm 2 hours behind you
350	b3	I will, I'll try not to wake you up again.
351	a1	Did you finish the list?
351	b1	No but I will finish it shortly.
352	a2	Add eggs, please?
352	b2	Sure! Would a dozen work?
353	a3	Yes, and don't forget the cream while you're at it.
353	b3	Is there anything else you need?
354	a1	What time is the movie?
354	b1	The first showing is at 7:30.
355	a2	Do you think we can still make it in time?
355	b2	yes we just have to leave early.
356	a3	Better hurry, then! I want to get some popcorn before the show, too.
356	b3	Yum! Me, too!
357	a1	What are your certifications?
357	b1	I don't have any.
358	a2	Are you going to try to get some?
358	b2	Not yet. I want to see how I do without them, first.
359	a3	The job requirement specifically states that you need these certifications though.
359	b3	I thought I could get by with my charm.
360	a1	Where is the money you stored from last year?
360	b1	I put it an a savings account.
361	a2	That was smart of you.
361	b2	I sure hope so.
362	a3	I wish I had put my money into a savings account instead of spending it all.
362	b3	Don't ask me for a loan, please. I don't believe in lending money to friends.
363	a1	Could you please help me find something to wear tomorrow?
363	b1	Sure! Let's go see what you have.
364	a2	Have you seen my new closet redesign yet?
364	b2	No, I don't think I have.
365	a3	It's the best ever, I can find anything easily.
365	b3	I d love to see it someday.
366	a1	Will you help me?
366	b1	Yes, what can I help with?
367	a2	I'm moving next Saturday. Do you have a truck?
367	b2	I've got a small pickup truck. Are you moving a lot of stuff?
368	a3	No, I just have few boxes of books and clothes.
368	b3	Okay well tell me a time and I'll be there.
369	a1	Where should we eat?
369	b1	At Jack in the box
370	a2	I don't really like Jack in the Box. Can we go somewhere else?
370	b2	Sure how about Taco Bell?
